time_tick,att_X_value,att_Y_value,att_Z_value
-0.016508,0.791488,1.294184,-0.390293
0.013466,0.754241,1.422452,-0.392825
0.053428,0.78244,1.384656,-0.390773
0.088374,0.773968,1.358057,-0.389318
0.118356,0.776491,1.388829,-0.388982
0.158309,0.77219,1.387213,-0.388335
0.188309,0.78296,1.377962,-0.388081
0.218277,0.789077,1.377031,-0.387416
0.263242,0.786148,1.370379,-0.387958
0.283224,0.784716,1.376524,-0.38864
0.323183,0.788484,1.376933,-0.389678
0.358157,0.777881,1.377717,-0.388618
0.388131,0.773619,1.383114,-0.38862
0.428085,0.775078,1.381296,-0.388321
0.458068,0.77396,1.381857,-0.388199
0.488041,0.782055,1.371664,-0.389455
0.53298,0.800127,1.370988,-0.391301
0.562953,0.848931,1.378367,-0.395279
0.592927,0.866906,1.372476,-0.396775
0.622904,1.002376,1.364516,-0.405475
0.65789,0.959479,1.348231,-0.411058
0.687863,1.097435,1.321583,-0.42086
0.727826,1.256361,1.262155,-0.464631
0.7578,1.383601,1.181043,-0.503714
0.787774,1.396902,1.125845,-0.578825
0.822744,1.425076,1.053679,-0.669179
0.862706,1.432736,0.92724,-0.757246
0.88269,1.477238,0.886936,-0.802443
0.922653,1.607128,0.834926,-0.871021
0.957616,1.5986,0.783528,-0.934096
0.987595,1.600467,0.791193,-0.961165
1.027537,1.545317,0.771976,-0.979363
1.057533,1.56833,0.565467,-0.994129
1.087506,1.585598,0.547322,-1.008036
1.122466,1.569996,0.495705,-1.008127
1.162424,1.547431,0.365038,-1.025249
1.182402,1.591788,0.413982,-1.024352
1.222366,1.635188,0.515492,-1.007411
1.252335,1.534299,0.408337,-0.985694
1.297318,1.573866,0.396414,-0.949206
1.327292,1.534073,0.543544,-0.93058
1.357264,1.45714,0.483398,-0.896718
1.387238,1.518063,0.538403,-0.892945
1.422208,1.430648,0.543596,-0.879865
1.452181,1.468223,0.52517,-0.868779
1.482154,1.425118,0.549671,-0.862536
1.522117,1.401596,0.560494,-0.858172
1.557069,1.397811,0.521818,-0.599945
1.597027,1.32169,0.616032,-0.639732
1.626999,1.373375,0.536809,-0.665127
1.656995,1.401571,0.495734,-0.659002
1.686957,1.317438,0.618938,-0.665607
1.731931,1.349064,0.607026,-0.661264
1.761903,1.3956,0.511259,-0.650455
1.791877,1.521923,0.561795,-0.661999
1.82185,1.461088,0.547515,-0.683643
1.851824,1.548653,0.489175,-0.738965
1.881797,1.612962,0.528624,-0.781526
1.926757,1.634017,0.53539,-0.853847
1.956722,1.57069,0.536395,-0.893584
1.991673,1.638474,0.420136,-0.948198
2.031662,1.67471,0.410573,-0.999329
2.05164,1.739391,0.498403,-1.025858
2.091599,1.740093,0.470507,-1.062733
2.121584,1.661356,0.39369,-1.080559
2.156552,1.732227,0.437521,-1.130073
2.196515,1.680906,0.454935,-1.197003
2.226489,1.740977,0.457422,-1.238713
2.256462,1.728133,0.385272,-1.31056
2.291431,1.741894,0.361418,-1.36352
2.321405,1.663004,0.366628,-1.411581
2.351379,1.782222,0.38513,-1.483851
2.391342,1.722944,0.271115,-1.551277
2.421315,1.691074,0.253237,-1.601647
2.456271,1.675397,0.333927,-1.68408
2.486255,1.768497,0.479879,-1.832803
2.52622,1.771856,0.701369,-2.254332
2.556194,1.747913,0.556293,-2.556443
2.586168,1.757067,0.50511,-2.70326
2.631127,1.836764,0.352687,-3.03565
2.661101,1.829245,0.414509,-3.296641
2.691055,1.796544,0.369156,-3.450706
2.711056,1.866338,0.240902,-3.53253
