time_tick,att_X_value,att_Y_value,att_Z_value
0.002040,-1.923172,2.316604,-1.121435
0.032014,-1.917573,2.334037,-1.125527
0.061989,-1.930814,2.363291,-1.127696
0.091964,-1.929663,2.381785,-1.132503
0.126908,-1.907432,2.390104,-1.137821
0.166885,-1.919049,2.388372,-1.141547
0.196854,-1.910272,2.376468,-1.145373
0.226832,-1.918927,2.371941,-1.148086
0.261811,-1.907246,2.360113,-1.153326
0.291795,-1.908195,2.358161,-1.156768
0.331741,-1.907898,2.355768,-1.162171
0.361734,-1.906534,2.352955,-1.165313
0.391710,-1.907502,2.350053,-1.168258
0.421684,-1.910912,2.346947,-1.171019
0.456650,-1.910786,2.349859,-1.175468
0.496607,-1.912470,2.350438,-1.179510
0.526596,-1.906472,2.346660,-1.183846
0.561567,-1.901999,2.345913,-1.188684
0.601531,-1.899080,2.344226,-1.194410
0.631506,-1.896209,2.346410,-1.198659
0.661480,-1.898190,2.344853,-1.200824
0.691455,-1.900276,2.347233,-1.204885
0.726427,-1.886534,2.335903,-1.208915
0.756395,-1.885942,2.340343,-1.212941
0.786376,-1.889093,2.348020,-1.215672
0.816351,-1.931016,2.383907,-1.211564
0.861302,-1.922710,2.385594,-1.218315
0.891270,-1.909600,2.379979,-1.220183
0.921239,-1.990349,2.337015,-1.217941
0.961222,-1.969927,2.284218,-1.225684
0.981206,-1.947668,2.293931,-1.224839
1.026153,-1.957861,2.270124,-1.235001
1.066137,-1.949868,2.297627,-1.240863
1.096111,-1.920085,2.311764,-1.245701
1.126086,-1.917218,2.317855,-1.249463
1.161046,-1.948783,2.310611,-1.251791
1.191014,-1.931751,2.310200,-1.259716
1.220982,-1.990135,2.323545,-1.266300
1.250981,-2.082517,2.381989,-1.258633
1.290921,-2.303721,2.417949,-1.252472
1.335908,-2.348951,2.370866,-1.259047
1.365882,-2.381661,2.378927,-1.261814
1.395840,-2.431073,2.371264,-1.275740
1.415842,-2.411143,2.339240,-1.287164
1.460804,-2.419856,2.250234,-1.301167
1.490753,-2.479050,2.240046,-1.301312
1.515755,-2.506976,2.232077,-1.300606
1.560715,-2.692635,2.240324,-1.287112
1.595689,-2.788874,2.342424,-1.284929
1.635653,-2.681767,2.353256,-1.323769
1.665628,-2.832651,2.342566,-1.330165
1.695604,-2.979281,2.308108,-1.325155
1.725577,-2.774595,2.274700,-1.355829
1.760549,-2.733765,2.206562,-1.368831
1.790524,-2.965164,2.124561,-1.351216
1.830488,-3.095190,1.969109,-1.350746
1.850473,-2.654016,1.905812,-1.354583
1.890427,-2.831237,1.909731,-1.332331
1.935383,-2.824462,1.930326,-1.346088
1.965352,-2.850397,1.718731,-1.347933
1.995348,-2.866851,1.560756,-1.353719
2.025314,-2.935599,1.451905,-1.362848
2.060294,-3.035493,1.379764,-1.347134
2.090270,-3.020033,1.336391,-1.377038
2.115227,-3.083584,1.364979,-1.347452
2.160209,-3.060098,1.415809,-1.337238
2.190170,-3.184508,1.346821,-1.358789
2.235144,-3.205743,1.343230,-1.352831
2.265119,-3.163674,1.338097,-1.367570
2.295090,-3.113200,1.440893,-1.369285
2.330064,-2.849395,1.475872,-1.375287
2.360039,-2.732628,1.494069,-1.394415
2.384947,-3.067176,1.332883,-1.377071
2.429910,-3.160721,1.385774,-1.354812
2.459884,-3.084745,1.397399,-1.352217
2.489858,-2.981968,1.323540,-1.333660
2.534796,-3.049582,1.453491,-1.315984
2.564795,-3.229912,1.591778,-1.317363
2.594763,-3.186766,1.627072,-1.315284
2.624733,-3.296678,1.662978,-1.305210
2.659715,-2.943678,1.893418,-1.312393
2.699680,-2.757997,1.809031,-1.342180
2.719661,-2.629773,1.769528,-1.347844
2.759607,-2.450561,1.908832,-1.342210
2.789600,-2.358061,1.918664,-1.341337
2.834566,-2.296562,1.915244,-1.342054
2.864540,-2.319803,2.067361,-1.316447
2.894514,-2.407494,2.093106,-1.285526
2.924488,-2.308258,2.233411,-1.285859
2.969428,-2.361228,2.228944,-1.293440
2.999426,-2.317534,2.123400,-1.305394
3.029378,-2.380081,2.088128,-1.305760
3.059375,-2.264267,2.084305,-1.316675
3.089349,-2.115544,2.077831,-1.297683
3.134310,-1.942880,2.083618,-1.277163
3.164285,-2.210170,2.119852,-1.265817
3.194260,-1.918384,2.063294,-1.272002
3.224209,-1.932964,1.889212,-1.284479
3.259206,-1.874655,1.955747,-1.278019
3.289180,-1.903224,2.021319,-1.255147
3.329145,-1.963523,1.963598,-1.277283
3.359120,-1.831051,2.005719,-1.250328
3.404059,-1.762476,1.913556,-1.245584
3.424068,-1.885974,1.898937,-1.263537
3.464027,-1.864070,1.909260,-1.235688
3.494004,-1.960286,1.942668,-1.215689
3.513989,-1.820280,1.937359,-1.231758
3.558926,-1.817719,1.871855,-1.227137
3.598914,-1.681123,2.031698,-1.230086
3.628882,-1.964909,2.032371,-1.214517
3.658850,-1.625740,1.999234,-1.234152
3.688814,-1.652097,2.072436,-1.209411
3.718815,-1.837130,2.020222,-1.155076
3.763776,-1.769564,2.043280,-1.134880
3.793750,-1.382970,1.931122,-1.162740
3.823724,-1.427231,1.955778,-1.124428
3.858696,-1.569670,1.982621,-1.084701
3.888671,-1.645593,1.990063,-1.061589
3.918646,-1.283696,1.937948,-1.056168
3.948604,-1.433373,1.919463,-1.005850
3.988584,-1.414349,1.881849,-0.986066
4.033545,-1.466095,2.011223,-0.968567
4.063513,-1.380230,2.049880,-0.970721
4.093482,-1.205701,2.058432,-0.955640
4.123443,-1.306383,2.098873,-0.942120
4.168431,-1.117233,1.943076,-0.937238
4.188415,-1.227133,1.798929,-0.920014
4.228381,-0.923660,1.750543,-0.929531
4.258329,-1.168978,1.899389,-0.938337
4.303317,-1.237760,1.830012,-0.910882
4.318305,-1.010938,1.816741,-0.905801
4.363266,-1.157003,1.826583,-0.906403
4.393240,-1.056048,1.816255,-0.907222
4.423215,-1.047240,1.825487,-0.909518
4.458187,-1.117691,1.843523,-0.911865
4.488161,-1.090002,1.842475,-0.914415
4.518136,-1.117610,1.854912,-0.916717
4.548103,-1.176271,1.851247,-0.918037
4.588074,-1.274905,1.852134,-0.917626
4.633032,-1.403704,1.863640,-0.917047
4.663001,-1.467103,1.860770,-0.918003
4.692969,-1.519945,1.861798,-0.919437
4.722938,-1.555003,1.859345,-0.921745
4.767921,-1.594871,1.863482,-0.923781
4.787906,-1.620801,1.857654,-0.924889
4.827871,-1.651249,1.870259,-0.927548
4.857845,-1.658198,1.873403,-0.931052
4.892816,-1.669054,1.872971,-0.936191
4.932781,-1.676298,1.875579,-0.940258
4.947760,-1.686381,1.874886,-0.942543
4.992729,-1.702796,1.878710,-0.946237
5.022705,-1.724944,1.881349,-0.949884
5.057659,-1.744319,1.877826,-0.954575
5.097632,-1.751324,1.880205,-0.960197
5.117625,-1.762476,1.880307,-0.961849
5.147578,-1.782647,1.867662,-0.964756
5.192562,-1.777051,1.880496,-0.968343
5.232526,-1.792986,1.879657,-0.971772
5.262485,-1.802532,1.889866,-0.973596
5.292455,-1.802675,1.915543,-0.970949
5.327448,-1.809494,1.935059,-0.966201
5.367411,-1.813149,1.949871,-0.961323
5.397386,-1.846482,1.941125,-0.956969
5.427360,-1.891010,1.941827,-0.953804
5.462329,-1.932807,1.992988,-0.942681
5.487309,-1.920469,1.963732,-0.940837
5.522281,-1.884373,1.917568,-0.951987
5.562245,-1.978268,1.901585,-0.952527
5.592221,-2.048543,1.814211,-0.949671
5.622195,-2.088772,1.820623,-0.953588
5.657161,-2.247422,1.759545,-0.954024
5.697119,-2.229776,1.709031,-0.954435
5.727087,-2.264094,1.711877,-0.976499
5.762077,-2.115076,1.831483,-0.953267
5.802041,-1.982965,1.833671,-0.947579
5.832015,-2.350597,1.998958,-0.953793
5.861990,-2.461872,2.019320,-0.974300
5.891964,-2.348444,2.008111,-0.993325
5.926936,-2.648422,2.040745,-0.985508
5.966900,-2.284640,2.005357,-1.032364
5.996875,-2.180221,1.946794,-1.054944
6.026831,-2.253286,2.051804,-1.108603
6.071784,-2.131547,1.946621,-1.160437
6.101759,-2.402961,1.661852,-1.173805
6.131751,-2.637106,1.598800,-1.179344
6.161718,-2.440829,1.623411,-1.183659
6.191693,-2.476858,1.682754,-1.188541
6.226681,-2.632486,1.764399,-1.163130
6.266646,-2.660746,1.712498,-1.198086
6.296604,-2.479630,1.636846,-1.212248
6.316591,-2.609432,1.688231,-1.207755
6.361566,-2.627210,1.624983,-1.236692
6.386526,-2.456437,1.579365,-1.266841
6.431505,-2.551967,1.662287,-1.268493
6.461479,-2.823735,1.713381,-1.278799
6.491454,-2.755382,1.625904,-1.271620
6.526426,-2.694685,1.676905,-1.275452
6.556399,-2.962373,1.746913,-1.258240
6.586374,-2.656181,1.670133,-1.296849
6.616349,-2.603757,1.691252,-1.308729
6.656313,-2.797631,1.736145,-1.294947
6.691280,-2.599720,1.633081,-1.331761
6.721248,-2.475136,1.626430,-1.332498
6.761206,-2.420910,1.569095,-1.352909
6.791174,-2.473036,1.616274,-1.368659
6.836157,-2.951787,1.707478,-1.349840
6.866112,-2.913058,1.750701,-1.358046
6.896094,-2.830824,1.790861,-1.340034
6.926072,-2.890081,1.895046,-1.334754
6.961055,-2.958744,1.909962,-1.327860
6.991030,-2.859817,1.784101,-1.308134
7.030995,-3.026043,1.852773,-1.266525
7.060967,-3.022884,1.873415,-1.223197
7.090943,-2.877690,1.822352,-1.241936
7.125904,-2.798393,1.850868,-1.223246
7.155889,-2.738817,1.997098,-1.230161
7.185864,-2.724890,1.934604,-1.253945
7.225829,-2.511396,1.989448,-1.258566
7.260800,-2.449737,2.026906,-1.250387
7.290774,-2.046181,2.046846,-1.262496
7.330723,-2.142450,2.095208,-1.237922
7.345726,-2.273013,2.155720,-1.236858
7.390611,-2.664062,2.200955,-1.231595
7.420610,-2.598345,2.206028,-1.237226
7.455582,-2.275159,2.266389,-1.248307
7.485557,-2.210312,2.298853,-1.238937
7.525521,-2.253641,2.148497,-1.237117
7.555495,-2.287065,2.168279,-1.256126
7.590467,-2.208962,2.153805,-1.273315
7.630432,-1.910856,2.101465,-1.281636
7.660406,-1.939824,2.080753,-1.297810
7.690380,-2.073872,1.969888,-1.319889
7.735337,-1.999870,2.022717,-1.309434
7.740340,-1.999407,2.013431,-1.315210
7.795274,-1.880957,2.050362,-1.284800
7.825242,-1.911857,1.915982,-1.278272
7.860237,-1.750418,1.872052,-1.326541
7.890203,-1.708625,1.842658,-1.345860
7.920163,-1.626842,1.737652,-1.380602
7.960131,-1.782637,2.243719,-1.379495
8.005112,-1.627742,2.309236,-1.410603
8.035086,-2.015872,2.462577,-1.402903
8.065060,-2.046414,2.424413,-1.415044
8.095033,-2.096595,2.441589,-1.415772
8.125009,-1.992693,2.361101,-1.392142
8.159959,-1.902509,2.297247,-1.408446
8.184958,-1.923243,2.267276,-1.402064
8.214933,-2.213304,2.013218,-1.394905
8.259894,-2.470543,1.766243,-1.370028
8.289868,-2.392656,1.766095,-1.364585
8.334830,-2.389492,1.806334,-1.347697
8.364805,-2.379466,1.820553,-1.340554
8.394761,-2.449154,1.780400,-1.331512
8.424729,-2.435374,1.764285,-1.332616
8.459726,-2.473716,1.738545,-1.326773
8.499690,-2.524103,1.649524,-1.316462
8.519674,-2.458458,1.547907,-1.313467
8.559639,-2.173004,1.491398,-1.311998
8.604600,-1.858292,1.559696,-1.296423
8.634574,-1.803608,1.577701,-1.289183
8.664549,-1.840885,1.632782,-1.290995
8.694524,-1.772987,1.574138,-1.283077
8.724498,-1.761884,1.477792,-1.286699
8.759466,-1.863414,1.478027,-1.262870
8.799406,-1.668026,1.545117,-1.264733
8.829384,-1.560707,1.565032,-1.268674
8.859361,-1.357110,1.632963,-1.255287
8.889357,-1.247366,1.557707,-1.255095
8.919332,-1.254929,1.541295,-1.246144
8.964280,-1.270731,1.593129,-1.244156
8.979281,-1.202621,1.625297,-1.235401
9.024237,-1.151691,1.725460,-1.231557
9.069204,-1.202721,1.840456,-1.223249
9.099178,-1.350731,1.905770,-1.221475
9.129153,-1.338378,1.781815,-1.251332
9.159126,-1.291341,1.727653,-1.262168
9.189101,-1.485384,1.711837,-1.275604
9.234063,-1.457579,1.669212,-1.276432
9.249050,-1.464176,1.734995,-1.258842
9.294012,-1.334644,1.869344,-1.274154
9.323986,-1.421431,1.947722,-1.263561
9.358957,-1.391010,1.963059,-1.267897
9.398923,-1.374712,2.006534,-1.269752
9.418892,-1.199854,1.992181,-1.296155
9.458848,-1.382878,1.895742,-1.256617
9.493842,-1.374401,1.891420,-1.245691
9.518815,-1.320635,1.876031,-1.233017
9.563782,-1.321893,1.785476,-1.216284
9.593748,-1.488045,1.851648,-1.203185
9.628726,-1.617379,1.904787,-1.191712
9.658701,-1.204272,1.930787,-1.227700
9.698665,-1.118841,1.973064,-1.244191
9.718632,-1.617921,2.027859,-1.237108
9.748602,-1.639901,2.005884,-1.240196
9.788583,-1.432920,1.961467,-1.248490
9.818560,-1.380801,1.949656,-1.255802
9.863511,-1.414345,1.983367,-1.265916
9.893480,-1.464633,1.957751,-1.271933
9.923474,-1.499064,1.948802,-1.272122
9.968431,-1.227455,1.893079,-1.289696
9.988405,-1.061746,1.845021,-1.296726
10.028385,-1.094540,1.802194,-1.286934
10.058359,-1.166789,1.753351,-1.281401
