time_tick,att_X_value,att_Y_value,att_Z_value
0.003925,-0.325905,0.976834,0.455902
0.033900,-0.367438,1.057790,0.454453
0.063873,-0.290414,0.973092,0.456554
0.103846,-0.351667,1.009536,0.456310
0.133818,-0.337470,1.001469,0.456801
0.168781,-0.351076,1.021583,0.456129
0.208769,-0.362558,1.025064,0.455845
0.223756,-0.365618,1.060514,0.456134
0.268718,-0.359638,1.036140,0.455877
0.298692,-0.355950,1.042482,0.454908
0.333665,-0.355218,1.026242,0.453622
0.373604,-0.355137,1.016344,0.452945
0.403594,-0.359813,1.013845,0.453292
0.433562,-0.354913,1.002706,0.453552
0.463542,-0.355957,1.000206,0.454470
0.508516,-0.355298,0.992808,0.456140
0.538491,-0.356931,0.990566,0.455561
0.568464,-0.354543,0.988163,0.455524
0.603437,-0.353572,0.981301,0.456695
0.633411,-0.351086,0.975847,0.457890
0.663386,-0.349671,0.970314,0.457888
0.693361,-0.345291,0.967920,0.458452
0.733325,-0.343728,0.963894,0.457440
0.778269,-0.345705,0.960610,0.456406
0.808250,-0.347823,0.961049,0.456141
0.838217,-0.350152,0.955503,0.456486
0.868194,-0.350466,0.953341,0.456507
0.903184,-0.346986,0.951760,0.456730
0.933159,-0.347074,0.945592,0.457070
0.973123,-0.346006,0.945471,0.455165
1.003098,-0.343290,0.945278,0.453932
1.038051,-0.337008,0.935498,0.454119
1.068026,-0.333007,0.935616,0.454689
1.097999,-0.336152,0.935676,0.454459
1.137969,-0.331904,0.933068,0.453734
1.167937,-0.331408,0.933179,0.453461
1.202930,-0.325149,0.928225,0.453634
1.232887,-0.326590,0.927288,0.453692
1.262854,-0.324820,0.923548,0.454296
1.292855,-0.325182,0.919506,0.454017
1.322829,-0.323746,0.918291,0.454627
1.367792,-0.327180,0.920159,0.455785
1.407730,-0.343468,0.953444,0.458397
1.422744,-0.340692,0.972499,0.458814
1.467681,-0.346474,0.958301,0.460485
1.512667,-0.383530,1.000884,0.466971
1.532652,-0.380325,0.992967,0.471205
1.572617,-0.425971,0.995649,0.465864
1.602591,-0.409397,0.947739,0.457098
1.637561,-0.423482,0.953573,0.449445
1.667538,-0.521321,0.989299,0.452910
1.707503,-0.479220,1.059133,0.465737
1.737478,-0.527230,1.106305,0.470866
1.767452,-0.525618,1.109906,0.475176
1.812400,-0.489929,1.108951,0.490288
1.842374,-0.505980,1.135574,0.496135
1.872350,-0.568263,1.157463,0.504185
1.902312,-0.613759,1.114529,0.502104
1.937292,-0.670725,1.135031,0.499574
1.967286,-0.853047,1.234188,0.489075
2.007249,-1.005098,1.269496,0.497374
2.037224,-1.155992,1.276108,0.497613
2.072198,-1.301527,1.276772,0.492448
2.102172,-1.363457,1.253085,0.484547
2.132146,-1.450430,1.229303,0.481499
2.162120,-1.436113,1.229392,0.481263
2.192095,-1.426459,1.226635,0.474018
2.232060,-1.362714,1.159937,0.484690
2.267017,-1.364645,1.146150,0.472509
2.296985,-1.410289,1.122360,0.470991
2.336944,-1.415465,1.098836,0.484447
2.366946,-1.409741,1.060223,0.471733
2.396911,-1.319492,1.077321,0.447973
2.431893,-1.327335,1.027262,0.498291
2.476854,-1.270891,1.038247,0.439174
2.501811,-1.312002,1.007598,0.437763
2.536804,-1.000925,1.003080,0.366708
2.561766,-1.130434,1.068841,0.315184
2.606743,-0.955612,0.920882,0.227984
2.636718,-1.041004,0.871981,0.190761
2.671680,-1.375531,0.732396,0.140267
2.711638,-1.389292,0.675175,0.086359
2.741622,-1.222595,0.681836,0.099763
2.771604,-1.111923,0.589129,0.055443
2.801578,-1.042997,0.511888,0.011377
2.836531,-0.751831,0.478962,-0.086366
2.876494,-0.966157,0.401420,-0.088368
2.906463,-1.063653,0.300412,-0.100258
2.936454,-1.191960,0.252620,-0.095476
2.981402,-1.364267,0.292275,-0.066469
3.011401,-1.370736,0.277144,-0.060922
3.041375,-1.306418,0.299818,-0.047208
3.061360,-1.302600,0.304050,-0.059545
3.101326,-1.325120,0.239964,-0.048519
3.136297,-1.449049,0.205996,-0.040999
3.176261,-1.512980,0.150620,-0.042792
3.206236,-1.473369,0.305703,0.002629
3.236210,-1.432475,0.319911,-0.000102
3.266186,-1.348778,0.372744,-0.007127
3.301136,-1.500223,0.184347,0.009493
3.331134,-1.678494,0.266656,0.025064
3.361103,-1.691569,0.246955,0.039976
3.401051,-1.700100,0.270232,0.012821
3.436043,-1.664862,0.293838,0.015307
3.466017,-1.679729,0.362376,0.003565
3.505983,-1.834292,0.604810,0.006986
3.535882,-1.689219,0.603433,-0.006329
3.570836,-1.500023,0.806435,-0.014755
3.600808,-1.582696,0.921853,-0.031595
3.640776,-1.542009,1.142960,-0.023641
3.670756,-1.600779,1.216984,-0.018284
3.700730,-1.720953,1.278273,0.010454
3.735692,-1.668828,1.409127,-0.011490
3.775679,-1.765171,1.378314,-0.020534
3.805654,-1.775921,1.405728,-0.031880
3.820642,-1.759628,1.438926,-0.034856
3.870581,-1.806466,1.561021,-0.058076
3.910566,-1.752674,1.575321,-0.103676
3.940541,-1.651900,1.554205,-0.121755
3.970514,-1.876082,1.695757,-0.138375
4.000489,-1.673149,1.637958,-0.152776
4.035460,-1.731258,1.768072,-0.192066
4.065434,-1.762136,1.907845,-0.191749
4.105377,-1.673756,1.914360,-0.209725
4.135361,-1.609707,1.946550,-0.240719
4.165329,-1.623880,2.015594,-0.268951
4.200321,-1.642262,2.007618,-0.253416
4.240286,-1.696228,1.973021,-0.275834
4.270261,-1.697977,1.925008,-0.272828
4.300236,-1.717069,1.951459,-0.274107
4.335179,-1.797361,1.960813,-0.275704
4.360184,-1.751720,1.983773,-0.270795
4.405147,-1.751063,2.012470,-0.257231
4.435122,-1.784816,1.996088,-0.264739
4.470094,-1.794295,1.993621,-0.259671
4.510055,-1.696481,1.977260,-0.262416
4.540024,-1.232282,2.076699,-0.285833
4.569992,-1.417329,2.091379,-0.277154
4.604955,-1.194986,2.048248,-0.308527
4.634954,-1.189012,2.084270,-0.329546
4.664922,-1.338597,1.953246,-0.328412
4.694881,-1.269944,1.901680,-0.348523
4.734848,-1.218778,1.875081,-0.385146
4.779828,-1.256164,1.989137,-0.417399
4.809804,-1.198480,2.047830,-0.462631
4.829788,-1.214396,2.088368,-0.454026
4.869754,-1.198969,2.098238,-0.493092
4.899728,-1.273560,2.050506,-0.542184
4.944687,-1.359857,1.938114,-0.584146
4.964665,-1.339637,1.938342,-0.607376
5.004620,-1.317349,1.879332,-0.641775
5.049601,-1.403644,1.880330,-0.670795
5.064588,-1.551085,1.936810,-0.663150
5.109549,-1.582241,1.925035,-0.671260
5.139525,-1.667007,2.088347,-0.663656
5.169500,-1.843088,2.023213,-0.647527
5.204471,-1.937080,1.972966,-0.657689
5.234446,-1.902502,1.975077,-0.675844
5.274410,-1.851398,1.911364,-0.684001
5.294395,-1.851823,1.855619,-0.668419
5.334360,-2.102797,1.841429,-0.670994
5.364334,-2.285329,1.879307,-0.657579
5.409284,-2.253312,1.847074,-0.657661
5.439271,-2.142191,1.779865,-0.636616
5.469245,-2.151087,1.757799,-0.620524
5.499220,-2.222929,1.676249,-0.623964
